siteID,Name,lon_WGS84,lat_WGS84,IDTM_X,IDTM_Y
Site-01,Wells Thompson Graze Area,-112.779488642891,42.9986493864837,2599484.58667067,1311611.27714936
Site-02,Wells Thompson Graze Area,-112.772670297771,43.0004243564803,2600037.47997792,1311816.48557064
Site-03,Wells Thompson Graze Area,-112.773826210078,43.0032085816659,2599938.74903019,1312124.29820257
Site-04,Wells Thompson Graze Area,-112.777392288912,43.0066345310486,2599642.55618702,1312500.51364159
Site-05,Wells Thompson Graze Area,-112.778731549468,43.0001812184509,2599543.8252393,1311782.2841671
Site-06,Wells Thompson Graze Area,-112.776557813394,42.9998500189075,2599721.5409452,1311748.08276355
Site-07,Wells Thompson Graze Area,-112.776460038898,43.0047766791011,2599721.5409452,1312295.30522031
Site-08,Wells Thompson Graze Area,-112.779826786118,43.0060445511197,2599445.09429158,1312432.1108345
Site-09,Wells Thompson Graze Area,-112.780844419325,43.0035915447441,2599366.1095334,1312158.49960612
Site-10,Wells Thompson Graze Area,-112.775776174415,43.0026134948732,2599780.77951384,1312055.89539548
Site-11,Wells Thompson Graze Area,-112.776162795916,43.0075453332666,2599741.28713475,1312603.11785223
Site-12,Wells Thompson Graze Area,-112.780510828636,43.0082077120832,2599385.85572294,1312671.52065933
Site-13,Wells Thompson Graze Area,-112.777974417664,43.0017130445434,2599603.06380793,1311953.29118483
Site-14,Wells Thompson Graze Area,-112.773378536419,43.0013558947592,2599978.24140928,1311919.08978129
Site-15,Wells Thompson Graze Area,-112.773752709195,43.0069035712771,2599938.74903019,1312534.71504514
Site-16,Wells Thompson Graze Area,-112.778349005877,43.0072607108143,2599563.57142884,1312568.91644869
Site-17,Wells Thompson Graze Area,-112.777278318341,43.0001657009616,2599662.30237657,1311782.2841671
Site-18,Wells Thompson Graze Area,-112.771726012522,42.9991822988039,2600116.4647361,1311679.67995646
Site-19,Wells Thompson Graze Area,-112.774062303492,43.0035190925705,2599919.00284065,1312158.49960612
Site-20,Wells Thompson Graze Area,-112.777665049276,43.0050975376402,2599622.80999748,1312329.50662385
Site-21,Wells Thompson Graze Area,-112.779924295933,43.0011178858353,2599445.09429158,1311884.88837774
Site-22,Wells Thompson Graze Area,-112.774632423551,42.9992134557589,2599879.51046156,1311679.67995646
Site-23,Wells Thompson Graze Area,-112.774770597859,43.0044506224387,2599859.76427202,1312261.10381676
Site-24,Wells Thompson Graze Area,-112.780099482961,43.0045075509744,2599425.34810203,1312261.10381676
Site-25,Wells Thompson Graze Area,-112.779663802032,43.002039053343,2599464.84048112,1311987.49258838
Site-26,Wells Thompson Graze Area,-112.776508929226,43.0023133495588,2599721.5409452,1312021.69399193
Site-27,Wells Thompson Graze Area,-112.774436546533,43.0090667657184,2599879.51046156,1312774.12486997
Site-28,Wells Thompson Graze Area,-112.779802404824,43.0072762167478,2599445.09429158,1312568.91644869
Site-29,Wells Thompson Graze Area,-112.777229462418,43.0026290321393,2599662.30237657,1312055.89539548
Site-30,Wells Thompson Graze Area,-112.772621257312,43.0028876833014,2600037.47997792,1312090.09679902
Site-31,Wells Thompson Graze Area,-112.77397656669,43.0078299136871,2599919.00284065,1312637.31925578
Site-32,Wells Thompson Graze Area,-112.777840118288,43.0084872025352,2599603.06380793,1312705.72206287
Site-33,Wells Thompson Graze Area,-112.777538839206,42.9992445389302,2599642.55618702,1311679.67995646
Site-34,Wells Thompson Graze Area,-112.77270707406,42.9985768606365,2600037.47997792,1311611.27714936
Site-35,Wells Thompson Graze Area,-112.771367223113,43.0050300971242,2600136.21092564,1312329.50662385
Site-36,Wells Thompson Graze Area,-112.778373416194,43.00602904585,2599563.57142884,1312432.1108345
Site-37,Wells Thompson Graze Area,-112.780445259477,42.9992755483177,2599405.60191249,1311679.67995646
Site-38,Wells Thompson Graze Area,-112.774868506225,42.9995239650739,2599859.76427202,1311713.88136
Site-39,Wells Thompson Graze Area,-112.775466679808,43.0059979799595,2599800.52570338,1312432.1108345
Site-40,Wells Thompson Graze Area,-112.780832240079,43.004207378091,2599366.1095334,1312226.90241321
Site-41,Wells Thompson Graze Area,-112.779427685636,43.0017285536393,2599484.58667067,1311953.29118483
Site-42,Wells Thompson Graze Area,-112.775067885182,43.0016819710089,2599840.01808247,1311953.29118483
Site-43,Wells Thompson Graze Area,-112.774945506558,43.0078402901506,2599840.01808247,1312637.31925578
Site-44,Wells Thompson Graze Area,-112.780286871396,43.007281381292,2599405.60191249,1312568.91644869
Site-45,Wells Thompson Graze Area,-112.772943144582,42.9988873738075,2600017.73378837,1311645.47855291
Site-46,Wells Thompson Graze Area,-112.77144086214,43.0013351096015,2600136.21092564,1311919.08978129
Site-47,Wells Thompson Graze Area,-112.778410028786,43.0041815478837,2599563.57142884,1312226.90241321
Site-48,Wells Thompson Graze Area,-112.778076251725,43.0087977053753,2599583.31761839,1312739.92346642
Site-49,Wells Thompson Graze Area,-112.777774936772,42.9995550424292,2599622.80999748,1311713.88136
Site-50,Wells Thompson Graze Area,-112.775601228256,42.9992238250142,2599800.52570338,1311679.67995646
Site-51,Wells Thompson Graze Area,-112.773777211033,43.0056719083506,2599938.74903019,1312397.90943095
Site-52,Wells Thompson Graze Area,-112.781801125492,43.0042176958245,2599287.12477522,1312226.90241321
Site-53,Wells Thompson Graze Area,-112.781589333349,43.0026755332485,2599306.87096476,1312055.89539548
Site-54,Wells Thompson Graze Area,-112.775564537848,43.0010713226493,2599800.52570338,1311884.88837774
Site-55,Wells Thompson Graze Area,-112.776175023227,43.0069295013523,2599741.28713475,1312534.71504514
Site-56,Wells Thompson Graze Area,-112.781243628213,43.0079075372717,2599326.61715431,1312637.31925578
Site-57,Wells Thompson Graze Area,-112.779415493033,43.0023443868625,2599484.58667067,1312021.69399193
Site-58,Wells Thompson Graze Area,-112.774571222588,43.0022926170276,2599879.51046156,1312021.69399193
Site-59,Wells Thompson Graze Area,-112.776386691854,43.0084716713353,2599721.5409452,1312705.72206287
Site-60,Wells Thompson Graze Area,-112.780983122951,43.0088287066005,2599346.36334385,1312739.92346642
Site-61,Wells Thompson Graze Area,-112.774148021391,42.9992082680569,2599919.00284065,1311679.67995646
Site-62,Wells Thompson Graze Area,-112.771900745392,43.002571971973,2600096.71854655,1312055.89539548
Site-63,Wells Thompson Graze Area,-112.777168383857,43.0057081945519,2599662.30237657,1312397.90943095
Site-64,Wells Thompson Graze Area,-112.778100668802,43.0075660408682,2599583.31761839,1312603.11785223
Site-65,Wells Thompson Graze Area,-112.774249418019,43.0062929298527,2599899.2566511,1312466.31223804
Site-66,Wells Thompson Graze Area,-112.78038434866,43.0023547162322,2599405.60191249,1312021.69399193
Site-67,Wells Thompson Graze Area,-112.773231476611,43.0087458726481,2599978.24140928,1312739.92346642
Site-68,Wells Thompson Graze Area,-112.773626870925,43.0010505746082,2599958.49521974,1311884.88837774
Site-69,Wells Thompson Graze Area,-112.782249071883,43.006070352235,2599247.63239613,1312432.1108345
Site-70,Wells Thompson Graze Area,-112.776236154005,43.0038503407413,2599741.28713475,1312192.70100966
Site-71,Wells Thompson Graze Area,-112.778809069885,43.0084975464174,2599524.07904976,1312705.72206287
